Bore ID,Postcode,Suburb,Area,Latitude,Longitude,Temperature (C),EC (uS/cm),WaterQuantity(mAHD)
26998,3685,BOORHAMAN NORTH,BUCKRABANYULE,-36.22196212,143.5668942,19.17 ,165.00 ,124.93 
26999,3685,BOORHAMAN NORTH,BUCKRABANYULE,-36.22196212,143.5668942,13.56 ,764.00 ,124.98 
27066,3975,LYNBROOK,MILDURA,-34.17998837,142.1044125,19.77 ,49629.86 ,40.02 
27068,3975,LYNBROOK,MILDURA,-34.18089764,142.1040482,13.06 ,344.00 ,40.37 
27070,3975,LYNBROOK,MILDURA,-34.17922363,142.1046342,21.26 ,101.00 ,39.21 
27080,3977,CANNONS CREEK,MILDURA,-34.17717851,142.1153691,22.66 ,77511.29 ,35.83 
28003,3608,BAILIESTON,AVENEL,-36.89418744,145.1346218,20.55 ,607.00 ,136.97 
28042,3663,MANGALORE,GOULBURN-MURRAY,-36.89625682,145.1507751,19.29 ,156.00 ,136.44 
28047,3607,TABILK,GOULBURN-MURRAY,-36.86898534,145.1695297,20.92 ,204.00 ,136.77 
36210,3682,BORALMA,JERUK,-36.0760283,143.3889352,18.73 ,663.00 ,105.70 
36216,3518,BERRIMAL,BRIDGEWATER,-36.23993493,143.959092,13.18 ,155.00 ,100.45 
36326,3701,DARTMOUTH,MINCHA,-35.98124807,144.1918134,15.03 ,534.00 ,88.69 
36360,3576,DURHAM OX,JARKLAN,-36.21027781,143.9557495,18.59 ,648.00 ,98.99 
36413,3516,BRIDGEWATER,GOULBURN-MURRAY,-36.49964818,144.0445826,15.03 ,663.00 ,122.35 
36414,3516,BRIDGEWATER,GOULBURN-MURRAY,-36.49962089,144.0445725,15.57 ,419.00 ,122.35 
36415,3517,BEARS LAGOON,GOULBURN-MURRAY,-36.42343536,143.9864239,20.60 ,34653.00 ,116.47 
36416,3517,BEARS LAGOON,GOULBURN-MURRAY,-36.4288069,143.9706489,21.80 ,10839.00 ,118.26 
36417,3570,AUCHMORE,GOULBURN-MURRAY,-36.46623676,144.0046496,17.50 ,12683.00 ,122.86 
36418,3570,AUCHMORE,GOULBURN-MURRAY,-36.46631128,144.0137285,18.60 ,4150.00 ,121.50 
36436,3570,AUCHMORE,GOULBURN-MURRAY,-36.46630228,144.0137289,17.81 ,405.00 ,121.51 
36447,3570,AUCHMORE,GOULBURN-MURRAY,-36.45516114,144.0831642,17.70 ,2721.00 ,117.02 
36448,3570,AUCHMORE,GOULBURN-MURRAY,-36.45516987,144.0831527,15.46 ,247.00 ,117.70 
36449,3570,AUCHMORE,GOULBURN-MURRAY,-36.45535651,144.1018983,20.97 ,696.00 ,116.81 
36450,3570,AUCHMORE,GOULBURN-MURRAY,-36.45529403,144.101923,21.47 ,317.00 ,116.81 
36451,3570,AUCHMORE,GOULBURN-MURRAY,-36.45519578,144.1086423,18.70 ,6067.00 ,116.19 
36452,3570,AUCHMORE,GOULBURN-MURRAY,-36.45519497,144.1086089,19.18 ,549.00 ,116.19 
36453,3570,AUCHMORE,GOULBURN-MURRAY,-36.45832734,144.1196263,19.87 ,409.00 ,116.28 
36454,3570,AUCHMORE,GOULBURN-MURRAY,-36.45834669,144.1196814,17.99 ,411.00 ,116.28 
36455,3570,AUCHMORE,GOULBURN-MURRAY,-36.45834068,144.1373976,17.01 ,343.00 ,116.32 
36456,3517,BEARS LAGOON,GOULBURN-MURRAY,-36.42367234,144.0232696,19.90 ,1495.00 ,116.86 
36457,3517,BEARS LAGOON,GOULBURN-MURRAY,-36.42368162,144.0232804,19.80 ,5688.00 ,116.86 
36458,3517,BEARS LAGOON,GOULBURN-MURRAY,-36.42365935,144.0100005,20.20 ,16266.00 ,118.27 
40318,3564,CAMPASPE WEST,TURRUMBERRY NORTH,-36.00107773,144.5100002,14.13 ,398.00 ,88.81 
40594,3673,BROKEN CREEK,BOURKA,-35.43950362,142.8194026,18.77 ,613.00 ,42.50 
40595,3533,BIMBOURIE,BOURKA,-35.41749246,142.7959215,13.72 ,781.00 ,42.40 
40596,3533,BIMBOURIE,BIMBOURIE,-35.31449796,142.7892266,16.27 ,210.00 ,42.67 
40599,3723,ARCHERTON,GERAHMIN,-35.23258916,142.8193271,18.43 ,224.00 ,46.56 
40600,3723,ARCHERTON,EUREKA,-35.24710368,142.9717759,13.18 ,658.00 ,49.28 
40603,3544,CHINANGIN,CHILLINGOLLAH,-35.36075712,143.0465016,14.36 ,171.00 ,53.05 
40609,3533,BIMBOURIE,BIMBOURIE,-35.36607224,142.7643347,21.13 ,47437.57 ,59.93 
40610,3533,BIMBOURIE,GRAMPIANS WIMMERA MALLEE,-35.36734353,142.764693,18.11 ,128.00 ,60.20 
40612,3533,BIMBOURIE,BOURKA,-35.44041259,142.7762905,21.87 ,34677.71 ,46.00 
40613,3533,BIMBOURIE,BOURKA,-35.45293478,142.8028691,19.87 ,544.00 ,45.44 
40614,3673,BROKEN CREEK,BOURKA,-35.45976477,142.8295243,17.27 ,348.00 ,55.12 
40615,3673,BROKEN CREEK,BOURKA,-35.46106,142.8342446,13.99 ,467.00 ,55.15 
40616,3673,BROKEN CREEK,GRAMPIANS WIMMERA MALLEE,-35.46106169,142.8342388,19.38 ,46675.50 ,52.31 
40617,3673,BROKEN CREEK,BOURKA,-35.45239812,142.859946,16.04 ,503.00 ,44.70 
40618,3533,BIMBOURIE,BOURKA,-35.39804983,142.72191,15.59 ,381.00 ,61.05 
40619,3533,BIMBOURIE,GRAMPIANS WIMMERA MALLEE,-35.30937168,142.7150461,18.98 ,53961.56 ,61.89 
40620,3723,ARCHERTON,EUREKA,-35.20986439,142.8566666,20.73 ,185.00 ,59.41 
40621,3723,ARCHERTON,GRAMPIANS WIMMERA MALLEE,-35.30451094,142.8952372,17.83 ,464.00 ,59.70 
40622,3723,ARCHERTON,GRAMPIANS WIMMERA MALLEE,-35.31090853,142.9380887,20.14 ,64694.22 ,60.03 
40623,3533,BIMBOURIE,GRAMPIANS WIMMERA MALLEE,-35.35200232,142.9582262,17.38 ,595.00 ,59.31 
40624,3533,BIMBOURIE,MOAH,-35.42495469,142.9172221,18.77 ,141.00 ,56.92 
40625,3723,ARCHERTON,GRAMPIANS WIMMERA MALLEE,-35.27998274,143.005155,18.90 ,786.00 ,57.01 
40626,3723,ARCHERTON,GRAMPIANS WIMMERA MALLEE,-35.3124666,142.9671032,13.66 ,490.00 ,46.35 
40627,3723,ARCHERTON,MOORTWORRA,-35.30257419,143.0059972,15.06 ,380.00 ,47.78 
40628,3723,ARCHERTON,CHILLINGOLLAH,-35.31927601,143.0765205,12.97 ,357.00 ,55.76 
40629,3723,ARCHERTON,GRAMPIANS WIMMERA MALLEE,-35.32027946,143.0975517,21.41 ,63114.38 ,50.17 
